number,text,name,souce,type ,,,
,"Понятие «воспитание» теперь будет включать в себя и трудолюбие, ответственное отношение к труду и его результатам. Также закрепили в документе единство обучения и воспитания - ученики участвуют в общественно-полезном труде, с учетом возраста. У школ появятся также возможности для содействия добровольческой (волонтерской) деятельности обучающихся.",Аиткулова Э.Р.,https://vk.com/wall497656811_5305,Социальные сети,,,
,"Ребенок, который любит и умеет трудиться, будет в первую очередь помощником для своих родителей.",Аиткулова Э.Р.,https://vk.com/wall497656811_5306,Социальные сети,,,
50,На научном совете по развитию системы среднего профессионального образования вместе с коллегами обсудили подготовку кадров.,Аиткулова Э.Р.,https://vk.com/wall497656811_5298,Социальные сети,,,
,"Главный вызов, который стоит перед системой СПО, – это подготовка специалистов, готовых работать в динамично меняющихся производственных процессах. Это решается через повышение квалификации преподавателей и мастеров производственного обучения. Для того, чтобы навыки выпускников соответствовали требованиям работодателей, учебные заведения и работодатели вместе должны определять, какие компетенции нужны будущим работникам. В данном случае Федеральная программа «Профессионалитет», во многом решает эту проблему.",Аиткулова Э.Р.,https://vk.com/wall497656811_5299,Социальные сети,,,
,"Владимир Блинов, который руководит в РАО центром по развитию высшего и среднего образования предложил сформировать Центр изучения проблем подготовки кадров для СПО с целью научно-методического сопровождения и для того, чтобы систематизировать работу колледжей и училищ, которые испытывают дефицит педагогов.",Аиткулова Э.Р.,https://vk.com/wall497656811_5300,Социальные сети,,,
51,"Новый единый учебник истории страны на подходе, начинаем готовить региональные учебники.",Аиткулова Э.Р.,https://vk.com/wall497656811_5241,Социальные сети,,,
,"Очень подробно обсудили сегодня на «круглом столе» в Госдуме, как сегодня преподается история родного края. Посмотрели то, что привезли для выставки. Картина получилась пестрая!",Аиткулова Э.Р.,https://vk.com/wall497656811_5242,Социальные сети,,,
,"Предстоит все приводить к единому знаменателю. Главный вывод: не торопимся издавать в регионах новые учебники, продолжаем работать по имеющимся. Обновление предстоит после принятия концепции учебников в регионах. Но уже сейчас можно и нужно запускать работу по формированию авторских коллективов, достижению консенсуса по спорным трактовкам, подготовке кадров.",Аиткулова Э.Р.,https://vk.com/wall497656811_5243,Социальные сети,,,
,"Передала пожелание наших учителей истории, с которыми встречались на ""Китап- байрам"", чтобы не забыли про оснащение кабинетов. И поддержала коллегу из Херсонской области, который просит дать материалы для учителей по истории СВО.",Аиткулова Э.Р.,https://vk.com/wall497656811_5244,Социальные сети,,,
,"Подробно о наработках Республики Башкортостан рассказал известный ученый Рамиль Рахимов, которому вместе с командой историков предстоит готовить обновлённый учебник по истории РБ. Он отметил, что необходимо синхронизировать учебники по истории регионов с историей России.",Аиткулова Э.Р.,https://vk.com/wall497656811_5245,Социальные сети,,,
,"Участники круглого стола из Татарстана, ЛНР, Курска, Республики Крым поделились опытом по организации изучения региональной истории.",Аиткулова Э.Р.,https://vk.com/wall497656811_5246,Социальные сети,,,
52,По всей России проходит неделя отказа от алкоголя,Аиткулова Э.Р.,https://vk.com/wall497656811_5248,Социальные сети,,,
,"В нашем республиканском проекте «Трезвое село» много успешных примеров трезвого образа жизни. С каждым годом участников становится больше, а это значит, что престиж и уровень республиканского конкурса растёт. Каждое село старается подготовить и провести необычное мероприятие, вовлечь как можно больше односельчан.",Аиткулова Э.Р.,https://vk.com/wall497656811_5249,Социальные сети,,,
,"Победившее село объявляется «территорией трезвости», а выигранные призы идут на облагораживание парков, покупку техники, организацию детских и спортивных площадок.",Аиткулова Э.Р.,https://vk.com/wall497656811_5250,Социальные сети,,,
,"Жители сёл, решением схода граждан ограничивают или полностью отказываются от продажи алкоголя в местных магазинах.",Аиткулова Э.Р.,https://vk.com/wall497656811_5251,Социальные сети,,,
,С прошлого года в проекте «Трезвое село» появилось новое направление по профилактике женского алкоголизма и реабилитации избавившихся от пагубных привычек женщин «Айык катын. Трезвая женщина».,Аиткулова Э.Р.,https://vk.com/wall497656811_5252,Социальные сети,,,
,"Сёла, не прошедшие в финал, не сдаются, уже сейчас готовят документы, составляют планы мероприятий на участие в следующем конкурсе.",Аиткулова Э.Р.,https://vk.com/wall497656811_5253,Социальные сети,,,
,Будем работать и дальше - проект получил грантовую поддержку на будущий год!,Аиткулова Э.Р.,https://vk.com/wall497656811_5254,Социальные сети,,,
53,"Россия никогда не отказывалась от диалога по мирному договору, она всегда была заинтересована в нормализации отношений с Японией. Мы неоднократно напоминали и говорили о необходимости уважать закрепленные в международных документах результаты Второй мировой войны. У РФ была договоренность с прежним премьер-министром Японии Ёсихидэ Сугой по разработке плана взаимодействия на основе документов 50-х годов,  однако японская сторона постоянно меняла свои желания. А сейчас Япония ввела санкции против нас, финансирует и поставляет оружие Украине. Был ряд высказываний против нас, нашего президента. Боюсь, в этих условиях одного желания с японской стороны, недостаточно.",Гасанов Д.Н.,http://vestiagula.ru/deputat-gosdumy-dzhamaludin-gasanov-dal-intervyu-izvestiyam-po-vzaimootnosheniyam-s-yaponiej/,Комментарий,,,
54,"Это одна из школ, которая находится в большом перечне объектов, входящих в «народную» программу, инициированную партией «Единая Россия». Основная цель этой программы — скорейшая реализация поручения Президента РФ Владимира Путина и Председателя Госдумы Федерального Собрания РФ Вячеслава Володина о ликвидации трехсменного режима обучения в школах. Мы с нашими коллегами по депутатскому корпусу уделяем особое внимание всем этапам ее реализации на местах. В этом процессе могут возникнуть проблемы, и мы готовы помочь для их решения.",Гасанов Д.Н.,https://mirmol.ru/novosti/deputat-dzhamaladin-gasanov-dobilsja-vydelenija-i-oformlenija-zemli-pod-shkolu-v-sele-aladash-kurahskogo-rajona/,Комментарий,,,
,"Данное решение Правительства РД на порядок облегчит решение большого количество проблем и вопросов, связанных с завершением строительства и капитального ремонта, а также с подключением всех необходимых коммуникаций и оформления условий, необходимых для работы учебного заведения.",Гасанов Д.Н.,https://mirmol.ru/novosti/deputat-dzhamaladin-gasanov-dobilsja-vydelenija-i-oformlenija-zemli-pod-shkolu-v-sele-aladash-kurahskogo-rajona/,Комментарий,,,
55,"На недавнем совещании правительства Президент России Владимир  Владимирович Путин еще раз указал на важность ускоренного развития  внутреннего туризма и поэтому Правительство РФ принимает все возможные усилия, направленные на создание необходимой для этого инфраструктуры. Это дороги, водоснабжение, электричество. Это различные субсидии и льготы тем предпринимателям и меценатам, кто готов вложиться в строительство различных туристических объектов и в сферу обслуживание туристов. Я вижу заинтересованность в этом нового руководителя района, вижу, как вокруг него сплотилось предпринимательское сообщество муниципального образования и поэтому готов помочь в реализации большого туристического потенциала Дахадаевского района",Гасанов Д.Н.,https://mahachkala.bezformata.com/listnews/dzhamaladin-gasanov-dahadaevskiy/114230733/,Комментарий,,,
56,"И что тут скажешь, если оказание гуманитарной помощи пострадавшим, детям и тем, кто в ней нуждается, – преступление, то так уж и быть, преступник. И скажу честно – горд быть в этом списке уважаемых людей",Гасанов Д.Н.,https://riadagestan.ru/news/politics/deputat_gosudarstvennoy_dumy_dzhamaladin_gasanov_prokommentiroval_vynesennyy_v_otnoshenii_nego_prigovor/,Комментарий,,,
57,"Председатель ГД РФ Володин В.В. призвал депутатов взять под опеку военные гарнизоны, уделить более пристальное внимание, тому в каких условиях проживают военнослужащие и их семьи. Теперь,когда у Министерства обороны России по понятным причинам, есть более важные задачи, мы депутаты ГД можем и обязаны помочь семья военнослужащих,взять под свою опеку решение их насущныхвопросов. Партия «Единая Россия» поручила всем депутатам своей фракции сделать все возможное, чтобы содействовать решению ваших проблем.",Гасанов Д.Н.,https://derbent.bezformata.com/listnews/deputat-gd-rf-gasanov-d-n-vzyat-pod/112027119/,Комментарий,,,
58,"Я хотел завершить своё выступление словами президента, но теперь хочу вот прямо начать с них, чтобы мы понимали всю глубину рассматриваемой нами темы. Президент, выступая на Совете по межнациональным отношениям, сказал, вот буквально читаю: ""Доброе, искреннее отношение народов России друг к другу формировалось на протяжении многих веков. Конечно, в истории нашего многонационального народа за тысячу лет, конечно, всё было, как в любой семье бывает, - и ссоры, и размолвки, и противоречия. Иначе и быть не может. Но вот так - постепенно, в течение тысячи лет складывалась российская семья народов"".",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Уважаемые коллеги, и мы, депутаты, здесь тоже такая семья. Вот только в Государственной Думе заседают представители более 40 национальностей, и мы с вами разговариваем на огромном количестве языков! В том числе нигде в мире нет в парламенте такого, как у нас, что мы имеем право - в соответствии с Регламентом - даже выступать на своём родном языке при определённых условиях. Нигде в мире такого нет, а у нас есть!",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Ну и конечно, как любая семья, эта работа требует к себе внимания. Когда ещё в 2007 году меня избрали на общественных началах руководителем Федеральной национально-культурной автономии татар, у нас не было практически никаких инструментов, никаких механизмов. За это время у нас появились и стратегия, и госпрограмма, и Федеральное агентство по делам национальностей, и Совет при президенте по межнациональным отношениям, и Дом народов России. Ну и самое главное - указом президента буквально недавно создана общественно-государственная организация ""Ассамблея народов России"", которую возглавляет наш уважаемый руководитель фракции Васильев Владимир Абдуалиевич. Уважаемые коллеги, призываю всех принимать активное участие в формировании этой организации как на федеральном уровне, так и на региональном. Очень надеюсь, что это будет очень важный инструмент, важная организация в жизни нашей страны.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"И хочу сказать о том, что государственная программа, которую мы сегодня обсуждаем, - это, конечно, очень важный, нужный инструмент. Конечно, ни одна государственная программа не решает всех наших проблем, тем не менее мы говорим, что должна быть более существенная поддержка регионов: 485 миллионов рублей на всю страну субсидия регионам - ну это ничто! Поэтому нужно изменить подходы и критерии оценки, чтобы эти деньги уходили на поддержку НКО, на поддержку домов дружбы, на создание воскресных школ. И конечно, нам с вами нужно сделать всё, чтобы эта сумма была увеличена, и это тоже в нашей компетенции - не только с них требовать, с ФАДН, а и с нас!",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Конечно, не могу не сказать о вопросе сохранения и изучения родных языков. Тема очень тонкая, очень чувствительная, нужно очень аккуратно к этому относиться, и она комплексно решается: это и семья, это и общество, это и государство, это все, это всё, не только система образования. Кстати, где ещё изучение идёт на 10 языках и 64 языка изучаются как предмет? Ни в одной стране мира такого нет, поверьте мне! Да, есть вопросы, да, есть проблемы. Хочу напомнить: в школе выбор изучаемого языка определяется самой образовательной организацией, она решает сама. Если он уже выбран, то он является обязательным для изучения детей. Да, дети могут выбирать, кто выбирает русский в качестве родного языка, кто татарский, кто чувашский, кто удмуртский. Это право за ними - за родителями и за детьми, имейте это в виду, пожалуйста!",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"И конечно, очень важная задача - это коренные малочисленные народы Севера, Сибири и Дальнего Востока, КМНС, к ним особое внимание государства. Тем, кто говорит, что у нас уменьшается количество малых народов, приведу последние данные статистики: 2010 год, количество этих граждан - 257 941 человек; 2021 год - 262 тысячи. Не уменьшилось! Да, может, незначительное изменение, но количество не уменьшилось! Ненцы - увеличилась численность, эвенки - увеличилась, ханты - увеличилась, чукчи - увеличилась и так далее, и так далее. Даже появились народы, которых в той переписи вообще не было, ноль был: алюторцев было ноль, сегодня - 96, да, их мало, но они требуют к себе особого внимания. Это тем, кто говорит, что уменьшается численность!",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Да, со стороны ФАДН нужно внимание к этой теме, к коренным малочисленным народам, к языковой тематике. В госпрограмме должны быть необходимые и финансирование, и интересные проекты, и поддержка, поэтому у нас создана рабочая группа, которая работает, - надеюсь, что мы совместными усилиями в этом направлении тоже сделаем движение.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"По социальной и культурной адаптации. Вот здесь всё время пытают нашего руководителя темой миграции. Да, она актуальна, да, она очень важна. Конечно, этим все должны заниматься, все институты, и часть социальной и культурной адаптации - за Федеральным агентством по делам национальностей, да. Но давайте мы сначала определимся с законом, с федеральным законом: у нас сегодня понятия ""адаптация"" в законодательстве нет, уважаемые коллеги, нет! Как определимся - дадим чёткие параметры, инструменты, в том числе и финансовые, для субъектов, для регионов, чтобы они понимали, чем они занимаются, когда занимаются, какие у них финансовые ресурсы есть, потому что основная работа у них, - тогда, конечно, у нас будет и результат!",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Хотел бы ещё об одной вещи сказать, о теме, которую мы не затрагивали. Великий поэт Расул Гамзатов говорил: ""Я так и остался бы певцом одного аула, если бы не великий русский язык"". Вот нам хотелось бы, чтобы в вопросе, связанном с переводами с языков других народов на русский язык и богатого наследия, и современных поэтов, писателей, была какая-то определённая система, программа - к сожалению, её сегодня нет. Это тоже должно быть предметом нашей совместной работы со всеми другими организациями.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Уважаемые коллеги, я, конечно, хотел бы и о многих других направлениях сказать, потому что есть о чём. Но хочу вас заверить, что комитет и в рамках рабочих групп, и в рамках взаимодействия будет внимательно заниматься реализацией государственной национальной политики, которая является архиважной, как сказал бы один товарищ, архиважной темой для нашего народа.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=414070&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
59,"Я сразу выскажу позицию комитета. Комитет поддерживает принятие данного законопроекта в первом чтении, концепцию, но у нас есть серьёзные замечания по данному законопроекту, в связи с этим мы выходим на рассмотрение парламентом с проектом постановления Государственной Думы.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=411407&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"О чём идёт речь? В данном законопроекте не до конца учтены решения Конституционного Суда, который, давая право представителям коренных народов, не проживающим в местах традиционного проживания и традиционной хозяйственной деятельности, указывает определённые условия, когда они это могут сделать, - вот это не учтено в этом законопроекте. Поэтому предлагаем внести четыре пункта в виде поправок к законопроекту, который в дальнейшем, надеюсь, будет принят во втором и в третьем чтениях.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=411407&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Первая поправка - об установлении механизмов подтверждения связей лица, относящегося к коренным малочисленным народам Севера, Сибири и Дальнего Востока, но не проживающего в местах традиционного проживания этих народов, с указанными местами, традиционным образом жизни и традиционной хозяйственной деятельностью соответствующего коренного малочисленного народа. Вторая поправка - об установлении порядка, позволяющего учесть мнения представителей коренных народов, а также их общин. Третья - об определении территорий, на которых возможно осуществление права на охоту для лиц, относящихся к коренным малочисленным народам Севера, Сибири и Дальнего Востока, не проживающих в местах традиционного проживания этих народов. И последняя поправка - о корректировке лимитов использования объектов животного мира и иных условий реализации права на охоту для лиц, относящихся к КМНС. Вот четыре условия, позиции, которые мы должны будем внести в предлагаемый законопроект.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=411407&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Почему мы это указали в проекте постановления Госдумы? Потому что данный законопроект, конечно, вызвал озабоченность у коренных малочисленных народов: как же так, люди, которые живут, например, в городе, хотя они и являются такими же представителями коренных народов, будут приезжать и охотиться на их территориях, угодьях без каких-либо условий и в таком же объёме? Для того чтобы этого не произошло, все эти четыре пункта будут нами внесены. Мы уже согласовывали эти позиции и с правительством, и с Федеральным агентством по делам национальностей, эти вопросы будут учтены. Права коренных малочисленных народов тоже будут защищены, и никаких таких волнений у коренных малочисленных народов и их общин не будет.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=411407&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
60,"Законом ""О языках народов Российской Федерации"" закреплено, что каждый народ России, не имеющий своей письменности, обладает правом создавать письменность на родном языке и государство обеспечивает для этого необходимые условия. Данным законопроектом как раз вносится изменение в Закон ""О языках народов Российской Федерации"" и закрепляются полномочия Правительства Российской Федерации по определению порядка утверждения алфавитов, правил орфографии и пунктуации языков коренных малочисленных народов Российской Федерации. Данным законопроектом предусматривалось принятие постановления Правительства Российской Федерации - в комитет поступил проект данного постановления, он у нас имеется. В связи с этим предлагаем принять законопроект в третьем чтении. ",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=389303&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
61,"Данный законопроект в первую очередь направлен на повышение легальности и обеспечение усиления государственного контроля за производством пива и пивных напитков, сидра, пуаре и медовухи. Перед тем как изложить, что мы предлагаем, я хотел бы вам напомнить некоторые цифры.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"На пивоваренном рынке появляются организации и производители, подключённые к ЕГАИС, но по факту не производящие продукцию, а являющиеся организациями-однодневками, через которые вводится в оборот пивоваренная продукция, производимая по факту неизвестными производителями по неизвестным адресам производства. Например, только в начале 2019 года установлено свыше 550 организаций, декларирующих производство пивоваренной продукции, но фактически не ведущих деятельности по указанным в налоговых органах адресам, производственные помещения и технологическое оборудование у таких организаций отсутствуют. При этом выявлена схема с участием 48 взаимодействующих между собой фирм-однодневок, через которые в нелегальный оборот было введено 22,5 миллиона декалитров пивоваренной продукции, что составляет порядка 5 миллиардов рублей потерь в бюджетах субъектов Российской Федерации только в виде недополученных сумм акцизов. И это только то, что выявлено.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Уважаемые коллеги, понятно, что вместе с тем отмечается повышенный интерес бизнеса к указанной сфере деятельности. Могу сказать, что сегодня у нас более 1850 организаций, которые занимаются производством, говорят о себе как о пивоваренных компаниях, и практически каждый год количество таких компаний увеличивается более чем на сотню. Необходимо сказать, что Росалкогольрегулированием в сфере производства пивоваренной продукции только в 2018 году проведено 690 мероприятий, и результаты говорят о росте нарушений.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Ну и ещё один факт. То же Росалкогольрегулирование провело проверки на соответствие ГОСТам: в 2020 году из 425 образцов пива и пивных напитков в 329 образцах выявлено несоответствие, это примерно 77 процентов; в 2019 году проведено 984 испытания, выявлено, что 892 образца не соответствуют ни одному утверждённому ГОСТу - ни нашим, национальным, ни международным стандартам, межгосударственным, то есть более 90 процентов нарушений.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"В связи с изложенным, уважаемые коллеги, мы предлагаем этим законопроектом сформировать реестр производителей пивоваренной продукции, сидра, пуаре и медовухи. Обязанность по ведению данного реестра будет возложена на Федеральную службу по регулированию алкогольного рынка. При включении организации в указанный реестр предполагается проведение внеплановой выездной проверки организации на предмет установления фактического наличия основного технологического оборудования с проверкой расчёта мощности, представляемого организацией.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Также законопроектом предлагается снизить порог в отношении наличия технологического оборудования, то есть когда требуется установление счётчиков, - с 300 тысяч до 100 тысяч декалитров. Вы знаете, сегодня есть такое деление: если производят не более 300 тысяч декалитров, нет этого счётчика учёта объёма, а если больше, он должен быть, так вот этот порог мы предлагаем снизить до 100 тысяч декалитров в год.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Также предлагается оптимизировать отчётность данных участников рынка, отменив необходимость ведения журнала учёта розничных продаж и представления деклараций, распространив ведение ЕГАИС на учёт розничных продаж пива, пивных напитков, сидра, пуаре, медовухи и алкогольной продукции при оказании услуг общественного питания.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Хочу сказать, что в целях недопущения срыва производства мы предлагаем включить все компании, работающие по состоянию на 31 декабря 2021 года, в этот реестр без каких-либо условий, автоматически.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Кроме того, предлагается установить переходный период до 2024 года. До 2024 года никаких административных наказаний в отношении компаний, которые не соответствуют этим требованиям, налагаться не будет, то есть у них будет время, возможность привести всё в соответствие с теми требованиями, которые есть в законе: установить, если они свыше 100 тысяч декалитров производят, соответствующие счётчики и устранить все недоделки, отмеченные проверяющими органами, чтобы нормально, как говорится, войти в этот реестр.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"Мы очень подробно расписали в законопроекте все необходимые условия включения в этот реестр, весь необходимый объём документов, максимально ушли от отсылочных норм к нормативным правовым документам, которые потребуется принять, их всего два, то есть всё очень подробно прописано. Да, даты вступления разные, и, кстати, в законопроекте это сделано для того, чтобы, ещё раз говорю, дать возможность бизнесу, тем, кого это касается, максимально безболезненно, скажем так, пройти все эти процедуры.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
,"К этому законопроекту есть сопутствующие. Это изменения в Налоговый кодекс, устанавливающие пошлину за включение в реестр, там суммы 10 тысяч, 5 тысяч рублей - я не думаю, что это такие значительные суммы. И конечно, будут изменения в административный кодекс, которыми будут введены соответствующие штрафы, соответствующее наказание за невыполнение норм данного федерального закона, когда он уже вступит в силу, когда истечёт этот период, до 2024 года.",Гильмутдинов И.И.,http://cir.duma.gov.ru/duma/document/text/?doc_id=386770&QueryID=453&HighlightQuery=453&query_target=news,Пленарное заседание,,,
